Disease	Disease_name	Orphan	Predicted_MGI	MGI_name	MGI_entrez	Genetic_location	Human	score
OMIM:101600	Pfeiffer syndrome	No	MGI:1206586	Brca1 associated protein 1	104416	Chr14 19.09 cM		0.36
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	Yes	MGI:1338938	bone morphogenetic protein receptor, type 1A	12166	Chr14 20.81 cM		0.83
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	Yes	MGI:5444216					0.76
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	Yes	MGI:1095438	solute carrier family 2 (facilitated glucose transporter), member 2	20526	Chr3 12.19 cM		0.69
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	Yes	MGI:4850006					0.67
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	Yes	MGI:96647	jun B proto-oncogene	16477	Chr8 41.41 cM		0.66
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	Yes	MGI:1916052	myopalladin	68802	Chr10 32.54 cM		0.55
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	Yes	MGI:96223	hairless	15460	Chr14 36.32 cM		0.45
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	Yes	MGI:1934606	ALMS1, centrosome and basal body associated	236266	Chr6 37.48 cM		0.37
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:2387586	tensin 2	209039	Chr15 57.29 cM		0.78
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:3644668	prolactin releasing hormone	623503	Chr1 45.81 cM		0.77
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:1328355	wolframin ER transmembrane glycoprotein	22393	Chr5 19.46 cM		0.64
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:94910	dentin matrix protein 1	13406	Chr5 50.61 cM		0.63
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:1351351	calcium-sensing receptor	12374	Chr16 25.57 cM		0.6
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:3843694					0.57
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:3577064					0.49
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:87983	alkaline phosphatase, liver/bone/kidney	11647	Chr4 70.02 cM		0.47
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	Yes	MGI:2445444					0.46
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:5523924					0.78
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:5806091					0.77
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:87902	actin, alpha 1, skeletal muscle	11459	Chr8 72.26 cM		0.68
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:4431196					0.65
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:104554	melanogenesis associated transcription factor	17342	Chr6 45.05 cM		0.62
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:102541	T-box 5	21388	Chr5 60.42 cM		0.54
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:103177	myelin protein zero	17528	Chr1 79.05 cM		0.5
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:1329012	solute carrier family 22 (organic cation transporter), member 5	20520	Chr11 32.02 cM		0.49
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	Yes	MGI:106594	glycerol kinase	14933	ChrX 39.32 cM		0.42
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:1347487	forkhead box M1	14235	Chr6 62.98 cM		0.84
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:3618598					0.73
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:5909325					0.72
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:2153480	ATPase, H+ transporting, lysosomal V0 subunit A4	140494	Chr6 17.5 cM		0.67
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:1934606	ALMS1, centrosome and basal body associated	236266	Chr6 37.48 cM		0.62
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:1316736	multiple endocrine neoplasia 1	17283	Chr19 4.45 cM		0.58
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:1202717	presenilin 1	19164	Chr12 38.84 cM		0.56
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:96969	met proto-oncogene	17295	Chr6 7.83 cM		0.4
OMIM:102200	growth hormone secreting pituitary adenoma	No	MGI:2384966	mannoside acetylglucosaminyltransferase 2	217664	Chr12 28.73 cM		0.39
OMIM:102300	restless legs syndrome	No	MGI:4360794					0.83
OMIM:102300	restless legs syndrome	No	MGI:94925	dopamine receptor D3	13490	Chr16 28.44 cM		0.81
OMIM:102300	restless legs syndrome	No	MGI:1351351	calcium-sensing receptor	12374	Chr16 25.57 cM		0.75
OMIM:102300	restless legs syndrome	No	MGI:1341870	serine/threonine kinase 11	20869	Chr10 39.72 cM		0.72
OMIM:102300	restless legs syndrome	No	MGI:3584043	docking protein 7	231134	Chr5 18 cM		0.71
OMIM:102300	restless legs syndrome	No	MGI:95613	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	14394	Chr11 24.97 cM		0.68
OMIM:102300	restless legs syndrome	No	MGI:1351343	glutamate receptor, metabotropic 6	108072	Chr11 30.93 cM		0.67
OMIM:102300	restless legs syndrome	No	MGI:1919815	uveal autoantigen with coiled-coil domains and ankyrin repeats	72565	Chr9 32.93 cM		0.64
OMIM:102300	restless legs syndrome	No	MGI:95621	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	14402	Chr7 33.53 cM		0.61
OMIM:102300	restless legs syndrome	No	MGI:5052378					0.6
OMIM:102300	restless legs syndrome	No	MGI:1916625	BTB (POZ) domain containing 9	224671	Chr17 15.62 cM		0.56
OMIM:102300	restless legs syndrome	No	MGI:2679260	crumbs family member 2	241324	Chr2 24.19 cM		0.55
OMIM:102300	restless legs syndrome	No	MGI:1098296	carnitine palmitoyltransferase 1a, liver	12894	Chr19 3.08 cM		0.54
OMIM:102300	restless legs syndrome	No	MGI:1890219	cadherin 23 (otocadherin)	22295	Chr10 30.11 cM		0.51
OMIM:102300	restless legs syndrome	No	MGI:3852176					0.47
OMIM:102300	restless legs syndrome	No	MGI:88469	cartilage oligomeric matrix protein	12845	Chr8 34.15 cM		0.44
OMIM:102300	restless legs syndrome	No	MGI:1196389	polymerase (DNA directed), gamma	18975	Chr7 45.04 cM		0.39
OMIM:102300	restless legs syndrome	No	MGI:1328317	three prime repair exonuclease 1	22040	Chr9 59.63 cM		0.35
OMIM:102500	Hajdu-Cheney syndrome	No	MGI:97364	notch 2	18129	Chr3 42.42 cM		0.82
OMIM:102500	Hajdu-Cheney syndrome	No	MGI:97441	opioid receptor, mu 1	18390	Chr10 1.85 cM		0.81
OMIM:102500	Hajdu-Cheney syndrome	No	MGI:99916	laminin, beta 2	16779	Chr9 59.4 cM		0.78
OMIM:102500	Hajdu-Cheney syndrome	No	MGI:1313261	spectrin beta, non-erythrocytic 2	20743	Chr19 4.1 cM		0.68
OMIM:102500	Hajdu-Cheney syndrome	No	MGI:1298378	7-dehydrocholesterol reductase	13360	Chr7 88.33 cM		0.55
OMIM:102500	Hajdu-Cheney syndrome	No	MGI:1341085	epilepsy, progressive myoclonic epilepsy, type 2 gene alpha	13853	Chr10 3.66 cM		0.53
OMIM:102500	Hajdu-Cheney syndrome	No	MGI:5547615					0.52
OMIM:102500	Hajdu-Cheney syndrome	No	MGI:98809	tropomyosin 1, alpha	22003	Chr9 36.27 cM		0.36
OMIM:102530	azoospermia	No	MGI:4459440					0.84
OMIM:102530	azoospermia	No	MGI:2149946	golgi associated PDZ and coiled-coil motif containing	94221	Chr10 26.54 cM		0.8
OMIM:102530	azoospermia	No	MGI:2153839	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1	12807	Chr3 6.12 cM		0.79
OMIM:102530	azoospermia	No	MGI:98729	transforming growth factor, beta receptor II	21813	Chr9 68.39 cM		0.77
OMIM:102530	azoospermia	No	MGI:2442252	low density lipoprotein receptor-related protein 4	228357	Chr2 50.63 cM		0.7
OMIM:102530	azoospermia	No	MGI:109542	synaptonemal complex protein 3	20962	Chr10 43.94 cM		0.63
OMIM:102530	azoospermia	No	MGI:5297586					0.62
OMIM:102530	azoospermia	No	MGI:109337	breast cancer 2, early onset	12190	Chr5 89.52 cM		0.57
OMIM:102530	azoospermia	No	MGI:1924290	autophagy related 16-like 1 (S. cerevisiae)	77040	Chr1 44.44 cM		0.54
OMIM:102530	azoospermia	No	MGI:3766211					0.52
OMIM:102530	azoospermia	No	MGI:5775595					0.51
OMIM:102530	azoospermia	No	MGI:95747	glycine receptor, alpha 1 subunit	14654	Chr11 33.12 cM		0.49
OMIM:102530	azoospermia	No	MGI:101941	E2F transcription factor 1	13555	Chr2 76.79 cM		0.47
OMIM:102530	azoospermia	No	MGI:98475	tachykinin receptor 1	21336	Chr6 35.94 cM		0.46
OMIM:102530	azoospermia	No	MGI:104564	cyclin-dependent kinase inhibitor 1C (P57)	12577	Chr7 88.22 cM		0.41
OMIM:102530	azoospermia	No	MGI:102949	forkhead box N1	15218	Chr11 46.74 cM		0.4
OMIM:102530	azoospermia	No	MGI:3772698					0.37
OMIM:102530	azoospermia	No	MGI:2388992					0.36
OMIM:102700	adenosine deaminase deficiency	No	MGI:95729	GLI-Kruppel family member GLI3	14634	Chr13 5.43 cM		0.8
OMIM:102700	adenosine deaminase deficiency	No	MGI:102672	runt related transcription factor 3	12399	Chr4 67.19 cM		0.75
OMIM:102700	adenosine deaminase deficiency	No	MGI:2149209	otoancorin	246190	Chr7 65.07 cM		0.7
OMIM:102700	adenosine deaminase deficiency	No	MGI:87916	adenosine deaminase	11486	Chr2 84.44 cM		0.69
OMIM:102700	adenosine deaminase deficiency	No	MGI:3623021					0.64
OMIM:102700	adenosine deaminase deficiency	No	MGI:98282	spleen focus forming virus (SFFV) proviral integration oncogene	20375	Chr2 50.44 cM		0.61
OMIM:102700	adenosine deaminase deficiency	No	MGI:3576010					0.58
OMIM:102700	adenosine deaminase deficiency	No	MGI:1891700	nicastrin	59287	Chr1 79.54 cM		0.54
OMIM:102700	adenosine deaminase deficiency	No	MGI:2683065					0.44
OMIM:102700	adenosine deaminase deficiency	No	MGI:87961	agrin	11603	Chr4 88.55 cM		0.42
OMIM:102700	adenosine deaminase deficiency	No	MGI:5052110					0.4
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:2146906	intraflagellar transport 140	106633	Chr17 12.53 cM		0.83
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:104554	melanogenesis associated transcription factor	17342	Chr6 45.05 cM		0.79
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:1924407	deleted in primary ciliary dyskinesia	226162	Chr19 38.75 cM		0.71
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:1353609	zinc finger and BTB domain containing 18	30928	Chr1 82.72 cM		0.59
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:99402	adenosine A2a receptor	11540	Chr10 38.52 cM		0.57
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:1926375	Ras association (RalGDS/AF-6) domain family member 5	54354	Chr1 56.91 cM		0.53
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:1858901	fucosyltransferase 8	53618	Chr12 35.46 cM		0.47
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:1337080	nuclear receptor co-repressor 2	20602	Chr5 63.96 cM		0.42
OMIM:103470	ocular albinism with sensorineural deafness	No	MGI:1351351	calcium-sensing receptor	12374	Chr16 25.57 cM		0.39
OMIM:103500	Tietz syndrome	No	MGI:5451180					0.77
OMIM:103500	Tietz syndrome	No	MGI:104554	melanogenesis associated transcription factor	17342	Chr6 45.05 cM		0.75
OMIM:103500	Tietz syndrome	No	MGI:4438486					0.7
OMIM:103500	Tietz syndrome	No	MGI:5896607					0.61
OMIM:103500	Tietz syndrome	No	MGI:87867	acyl-Coenzyme A dehydrogenase, medium chain	11364	Chr3 78.77 cM		0.6
OMIM:103500	Tietz syndrome	No	MGI:1347048	chloride channel, voltage-sensitive 7	26373	Chr17 12.53 cM		0.53
OMIM:103500	Tietz syndrome	No	MGI:95719	gap junction protein, beta 1	14618	ChrX 44.06 cM		0.48
OMIM:103500	Tietz syndrome	No	MGI:107931	sequestosome 1	18412	Chr11 30.36 cM		0.4
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:1333772	enamelin	13801	Chr5 43.66 cM		0.74
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:5491159					0.7
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:97800	parathyroid hormone-like peptide	19227	Chr6 78.19 cM		0.67
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:2670664					0.66
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:3790747					0.59
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:88110	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	11938	Chr5 62.38 cM		0.47
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:1891836	McKusick-Kaufman syndrome	59030	Chr2 67.64 cM		0.45
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:95777	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	14683	Chr2 97.89 cM		0.4
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:1930923	secreted Ly6/Plaur domain containing 1	57277	Chr15 34.26 cM		0.36
OMIM:103580	Albright's hereditary osteodystrophy	No	MGI:5451189					0.35
OMIM:103780	alcohol dependence	No	MGI:1920942	ciliogenesis and planar polarity effector 1	73692	Chr15 3.82 cM		0.82
OMIM:103780	alcohol dependence	No	MGI:5009686					0.79
OMIM:103780	alcohol dependence	No	MGI:1927073	solute carrier family 29 (nucleoside transporters), member 1	63959	Chr17 22.59 cM		0.71
OMIM:103780	alcohol dependence	No	MGI:1929813	calcium channel, voltage-dependent, alpha 2/delta subunit 2	56808	Chr9 58.02 cM		0.7
OMIM:103780	alcohol dependence	No	MGI:1891012	coagulation factor XII (Hageman factor)	58992	Chr13 30.06 cM		0.69
OMIM:103780	alcohol dependence	No	MGI:87918	adducin 1 (alpha)	11518	Chr5 17.9 cM		0.55
OMIM:103780	alcohol dependence	No	MGI:103581	muscle, skeletal, receptor tyrosine kinase	18198	Chr4 31.87 cM		0.53
OMIM:103780	alcohol dependence	No	MGI:106299	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)	52864	Chr16 2.34 cM		0.52
OMIM:104300	Alzheimer's disease	No	MGI:97239	methylmalonyl-Coenzyme A mutase	17850	Chr17 19.55 cM		0.84
OMIM:104300	Alzheimer's disease	No	MGI:4366525					0.83
OMIM:104300	Alzheimer's disease	No	MGI:97004	membrane metallo endopeptidase	17380	Chr3 29.97 cM		0.82
OMIM:104300	Alzheimer's disease	No	MGI:2450863					0.81
OMIM:104300	Alzheimer's disease	No	MGI:5810409					0.8
OMIM:104300	Alzheimer's disease	No	MGI:5052115					0.79
OMIM:104300	Alzheimer's disease	No	MGI:3709064					0.78
OMIM:104300	Alzheimer's disease	No	MGI:4835248					0.77
OMIM:104300	Alzheimer's disease	No	MGI:2448606					0.76
OMIM:104300	Alzheimer's disease	No	MGI:5662094					0.75
OMIM:104300	Alzheimer's disease	No	MGI:2448181					0.74
OMIM:104300	Alzheimer's disease	No	MGI:3793734					0.73
OMIM:104300	Alzheimer's disease	No	MGI:5554184					0.72
OMIM:104300	Alzheimer's disease	No	MGI:5003452					0.71
OMIM:104300	Alzheimer's disease	No	MGI:5447028					0.7
OMIM:104300	Alzheimer's disease	No	MGI:5052110					0.69
OMIM:104300	Alzheimer's disease	No	MGI:3510602					0.68
OMIM:104300	Alzheimer's disease	No	MGI:5462362					0.67
OMIM:104300	Alzheimer's disease	No	MGI:3765348					0.66
OMIM:104300	Alzheimer's disease	No	MGI:2385632					0.65
OMIM:104300	Alzheimer's disease	No	MGI:4367785					0.64
OMIM:104300	Alzheimer's disease	No	MGI:1346036	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	23988	Chr9 7.6 cM		0.63
OMIM:104300	Alzheimer's disease	No	MGI:3720648					0.62
OMIM:104300	Alzheimer's disease	No	MGI:4438221					0.61
OMIM:104300	Alzheimer's disease	No	MGI:3653675					0.6
OMIM:104300	Alzheimer's disease	No	MGI:3708461					0.59
OMIM:104300	Alzheimer's disease	No	MGI:5463434					0.58
OMIM:104300	Alzheimer's disease	No	MGI:1315205	slit guidance ligand 2	20563	Chr5 26.05 cM		0.57
OMIM:104300	Alzheimer's disease	No	MGI:3768406					0.56
OMIM:104300	Alzheimer's disease	No	MGI:3604137					0.55
OMIM:104300	Alzheimer's disease	No	MGI:3696469					0.54
OMIM:104300	Alzheimer's disease	No	MGI:3590546					0.53
OMIM:104300	Alzheimer's disease	No	MGI:3693358					0.52
OMIM:104300	Alzheimer's disease	No	MGI:5491621					0.51
OMIM:104300	Alzheimer's disease	No	MGI:3510628					0.5
